"yardline_100","fg_model_roof","prob"
62,"11",0.0254317088282609
63,"11",0.0216286099979688
64,"11",0.0183835047870555
65,"11",0.0156175153670553
66,"11",0.0132620751451361
67,"11",0.0112578206318666
68,"11",0.00955352999585477
69,"11",0.00810513225368236
70,"11",0.00687479993515144
71,"11",0.00583013026620839
72,"11",0.00494341464126549
73,"11",0.00419099276453082
74,"11",0.00355268580967107
75,"11",0.00301130187895593
76,"11",0.00255220663518783
77,"11",0.00216295200930948
78,"11",0.00183295619228313
79,"11",0.00155322858733083
80,"11",0.00131613394870614
81,"11",0.0011151905124406
82,"11",0.000944897498205142
83,"11",0.000800587908000241
84,"11",0.0006783030545192
85,"11",0.000574685713680069
86,"11",0.000486889210136111
87,"11",0.000412500112377037
88,"11",0.000349472537771036
89,"11",0.000296072350930855
90,"11",0.000250829784891181
91,"11",0.000212499227636197
92,"11",0.00018002510029119
93,"11",0.000152512911344655
94,"11",0.000129204706865281
95,"11",0.000109458252775078
96,"11",9.27293844729942e-05
97,"11",7.85570438020708e-05
98,"11",6.65505955605925e-05
99,"11",5.63790772559534e-05
