"term","x","f"
"cpoe",-12.5,-0.0705225570942231
"cpoe",-12.4,-0.0699720472137647
"cpoe",-12.3,-0.0694215373333065
"cpoe",-12.2,-0.0688710274528485
"cpoe",-12.1,-0.0683205175723906
"cpoe",-12,-0.0677700076919329
"cpoe",-11.9,-0.0672194978114753
"cpoe",-11.8,-0.0666689879310179
"cpoe",-11.7,-0.0661184780505607
"cpoe",-11.6,-0.0655679681701036
"cpoe",-11.5,-0.0650174582896468
"cpoe",-11.4,-0.0644669484091901
"cpoe",-11.3,-0.0639164385287337
"cpoe",-11.2,-0.0633659286482775
"cpoe",-11.1,-0.0628154187678215
"cpoe",-11,-0.0622649088873658
"cpoe",-10.9,-0.0617143990069103
"cpoe",-10.8,-0.061163889126455
"cpoe",-10.7,-0.060613379246
"cpoe",-10.6,-0.0600628693655452
"cpoe",-10.5,-0.0595123594850907
"cpoe",-10.4,-0.0589618496046365
"cpoe",-10.3,-0.0584113397241825
"cpoe",-10.2,-0.0578608298437289
"cpoe",-10.1,-0.0573103199632754
"cpoe",-10,-0.0567598100828223
"cpoe",-9.9,-0.0562093002023695
"cpoe",-9.8,-0.0556587903219169
"cpoe",-9.7,-0.0551082804414646
"cpoe",-9.6,-0.0545577705610126
"cpoe",-9.5,-0.0540072606805609
"cpoe",-9.4,-0.0534567508001095
"cpoe",-9.3,-0.0529062409196584
"cpoe",-9.2,-0.0523557310392076
"cpoe",-9.1,-0.0518052211587571
"cpoe",-9,-0.0512547112783069
"cpoe",-8.9,-0.050704201397857
"cpoe",-8.8,-0.0501536915174074
"cpoe",-8.7,-0.0496031816369581
"cpoe",-8.6,-0.0490526717565092
"cpoe",-8.5,-0.0485021618760605
"cpoe",-8.4,-0.0479516519956122
"cpoe",-8.3,-0.0474011421151642
"cpoe",-8.2,-0.0468506322347165
"cpoe",-8.1,-0.0463001223542691
"cpoe",-8,-0.0457496124738221
"cpoe",-7.9,-0.0451991025933753
"cpoe",-7.8,-0.044648592712929
"cpoe",-7.7,-0.0440980828324829
"cpoe",-7.6,-0.0435475729520372
"cpoe",-7.5,-0.0429970630715918
"cpoe",-7.4,-0.0424465531911468
"cpoe",-7.3,-0.0418960433107021
"cpoe",-7.2,-0.0413455334302577
"cpoe",-7.1,-0.0407950235498137
"cpoe",-7,-0.04024451366937
"cpoe",-6.9,-0.0396940037889266
"cpoe",-6.8,-0.0391434939084835
"cpoe",-6.7,-0.0385929840280408
"cpoe",-6.6,-0.0380424741475984
"cpoe",-6.5,-0.0374919642671564
"cpoe",-6.4,-0.0369414543867146
"cpoe",-6.3,-0.0363909445062731
"cpoe",-6.2,-0.0358404346258319
"cpoe",-6.1,-0.035289924745391
"cpoe",-6,-0.0347394148649504
"cpoe",-5.9,-0.0341889049845099
"cpoe",-5.8,-0.0336383951040697
